1 2 0 0
2 8 6 4
3 20 19 13
4 40 38 31
5 70 71 57
6 112 98 95
7 168 150 141
8 240 218 197
9 330 296 262
10 440 396 336
11 572 509 427
12 728 655 525
13 910 814 638
14 1120 978 770
15 1360 1182 913
16 1632 1366 1065
17 1938 1627 1239
18 2280 1899 1431
19 2660 2146 1627
20 3080 2500 1843
21 3542 2847 2073
22 4048 3229 2319
23 4600 3636 2577
24 5200 4118 2853
25 5850 4651 3147
26 6552 5240 3453
27 7308 5847 3767
28 8120 6507 4111
29 8990 7121 4467
30 9920 7881 4841
31 10912 8686 5225
32 11968 9569 5623
33 13090 10497 6036
34 14280 11412 6480
35 15540 12283 6933
36 16872 13356 7415
37 18278 14422 7910
38 19760 15588 8422
39 21320 16849 8943
40 22960 18190 9487
41 24682 19467 10058
42 26488 20900 10640
43 28380 22327 11243
44 30360 23849 11869
45 32430 25473 12514
46 34592 27188 13164
47 36848 28868 13843
48 39200 30756 14545
49 41650 32700 15254
50 44200 34744 15980
51 46852 36606 16719
52 49608 38755 17481
53 52470 41097 18270
54 55440 43376 19076
55 58520 45603 19895
56 61712 48016 20731
57 65018 50691 21586
58 68440 53350 22464
59 71980 56151 23355
60 75640 58894 24269
61 79422 61856 25192
62 83328 64995 26146
63 87360 67794 27127
64 91520 70835 28123
65 95810 74196 29149
66 100232 77589 30177
67 104788 81058 31237
68 109480 84581 32321
69 114310 88298 33411
70 119280 92092 34535
71 124392 96141 35661
72 129648 100108 36819
73 135050 104247 37995
74 140600 108522 39175
75 146300 113217 40417
76 152152 117681 41667
77 158158 122226 42939
78 164320 126948 44221
79 170640 131827 45527
80 177120 136813 46855
81 183762 142107 48203
82 190568 147417 49569
83 197540 152915 50933
84 204680 158386 52337
85 211990 163962 53785
86 219472 169772 55229
87 227128 175627 56699
88 234960 181522 58197
89 242970 187879 59699
90 251160 194152 61249
91 259532 200871 62797
92 268088 207566 64395
93 276830 214138 65999
94 285760 221070 67633
95 294880 228436 69281
96 304192 235346 70951
97 313698 242493 72641
98 323400 249931 74361
99 333300 257425 76117
100 343400 264631 77893
101 353702 272124 79677
102 364208 280301 81485
103 374920 288212 83301
104 385840 296420 85151
105 396970 305148 87011
106 408312 313978 88911
107 419868 322764 90817
108 431640 331553 92763
109 443630 341041 94721
110 455840 350579 96673
111 468272 359984 98671
112 480928 369391 100699
113 493810 379431 102731
114 506920 389667 104795
115 520260 400180 106875
116 533832 410411 108971
117 547638 420836 111101
118 561680 431770 113223
119 575960 442661 115409
120 590480 453481 117621
121 605242 464946 119851
122 620248 475718 122079
123 635500 487768 124357
124 651000 499670 126633
125 666750 511665 128937
126 682752 523809 131251
127 699008 536305 133601
128 715520 549214 135975
129 732290 562228 138378
130 749320 575251 140794
131 766612 588323 143231
132 784168 601193 145697
133 801990 614953 148190
134 820080 628071 150704
135 838440 642153 153231
136 857072 656555 155795
137 875978 671685 158382
138 895160 686464 160970
139 914620 701133 163587
140 934360 715656 166243
141 954382 730616 168906
142 974688 746030 171578
143 995280 761888 174295
144 1016160 777449 177021
145 1037330 793772 179782
146 1058792 810901 182586
147 1080548 827547 185427
148 1102600 844527 188291
149 1124950 860867 191160
150 1147600 877239 194058
151 1170552 894251 196979
152 1193808 911460 199911
153 1217370 929499 202872
154 1241240 947880 205880
155 1265420 966810 208909
156 1289912 985381 211961
157 1314718 1004212 215020
158 1339840 1023058 218108
159 1365280 1042180 221211
160 1391040 1061432 224335
161 1417122 1081480 227506
162 1443528 1101715 230698
163 1470260 1122197 233923
164 1497320 1143094 237155
165 1524710 1163686 240424
166 1552432 1184653 243678
167 1580488 1205911 246981
168 1608880 1227699 250307
169 1637610 1248699 253680
170 1666680 1271004 257048
171 1696092 1293821 260453
172 1725848 1316733 263881
173 1755950 1339279 267324
174 1786400 1361839 270778
175 1817200 1385382 274285
176 1848352 1409335 277771
177 1879858 1432710 281340
178 1911720 1457321 284926
179 1943940 1481809 288511
180 1976520 1506270 292137
181 2009462 1532220 295790
182 2042768 1557525 299476
183 2076440 1582450 303183
184 2110480 1608358 306893
185 2144890 1635783 310646
186 2179672 1661966 314384
187 2214828 1689016 318143
188 2250360 1715938 321923
189 2286270 1743077 325778
190 2322560 1770655 329620
191 2359232 1798644 333507
192 2396288 1827054 337419
193 2433730 1855458 341350
194 2471560 1884054 345328
195 2509780 1913111 349287
196 2548392 1941674 353293
197 2587398 1971422 357314
198 2626800 2001248 361386
199 2666600 2030826 365489
200 2706800 2061120 369609
201 2747402 2091684 373734
202 2788408 2121635 377890
203 2829820 2152814 382061
204 2871640 2184273 386223
205 2913870 2215804 390442
206 2956512 2248704 394698
207 2999568 2281888 398993
208 3043040 2314940 403311
209 3086930 2348623 407680
210 3131240 2381828 412024
211 3175972 2415473 416403
212 3221128 2449669 420815
213 3266710 2485199 425234
214 3312720 2520167 429694
215 3359160 2555104 434155
216 3406032 2590618 438697
217 3453338 2626011 443202
218 3501080 2662243 447756
219 3549260 2698518 452329
220 3597880 2735876 456953
221 3646942 2773449 461602
222 3696448 2811323 466254
223 3746400 2849560 470919
224 3796800 2887626 475631
225 3847650 2925650 480366
226 3898952 2963203 485102
227 3950708 3002277 489889
228 4002920 3040728 494673
229 4055590 3080711 499494
230 4108720 3120786 504360
231 4162312 3159762 509251
232 4216368 3200530 514197
233 4270890 3242976 519144
234 4325880 3284036 524056
235 4381340 3326825 529023
236 4437272 3369271 534013
237 4493678 3411354 539024
238 4550560 3454891 544064
239 4607920 3497803 549149
240 4665760 3541584 554239
241 4724082 3584708 559328
242 4782888 3628597 564486
243 4842180 3673302 569671
244 4901960 3718684 574867
